tmstm,mxCnt,entryCnt,5p,10p,20p,30p,40p,50p,60p,70p,80p,90p
28700975,5,7,7,7,7,7,3,3,1,1,1,1
28821601,7,7,7,7,7,4,4,1,1,1,1,1
28942227,5,9,9,9,9,9,3,3,2,2,1,1
29062955,3,7,7,7,7,7,7,7,7,2,2,2
29183582,5,9,9,9,9,9,4,4,2,2,1,1
29304413,3,6,6,6,6,6,6,6,6,3,3,3
29424936,5,6,6,6,6,6,1,1,1,1,1,1
29545562,2,8,8,8,8,8,8,8,8,8,8,8
29666291,4,10,10,10,10,10,10,4,4,4,1,1
29786917,3,8,8,8,8,8,8,8,8,3,3,3
29907646,2,5,5,5,5,5,5,5,5,5,5,5
30028272,4,6,6,6,6,6,6,4,4,4,2,2
30148898,7,6,6,6,6,1,1,1,1,1,1,1
30269626,2,4,4,4,4,4,4,4,4,4,4,4
30390253,2,6,6,6,6,6,6,6,6,6,6,6
30510981,2,6,6,6,6,6,6,6,6,6,6,6
30631584,2,4,4,4,4,4,4,4,4,4,4,4
30752272,3,6,6,6,6,6,6,6,6,4,4,4
30872962,2,5,5,5,5,5,5,5,5,5,5,5
30993588,3,8,8,8,8,8,8,8,8,4,4,4
31114317,2,5,5,5,5,5,5,5,5,5,5,5
31234943,2,7,7,7,7,7,7,7,7,7,7,7
31355569,2,3,3,3,3,3,3,3,3,3,3,3
31476300,2,3,3,3,3,3,3,3,3,3,3,3
31596924,2,7,7,7,7,7,7,7,7,7,7,7
31717552,2,6,6,6,6,6,6,6,6,6,6,6
31838228,1,7,7,7,7,7,7,7,7,7,7,7
31958907,1,3,3,3,3,3,3,3,3,3,3,3
32079599,1,4,4,4,4,4,4,4,4,4,4,4
32200262,3,8,8,8,8,8,8,8,8,3,3,3
32320885,2,6,6,6,6,6,6,6,6,6,6,6
32441614,1,5,5,5,5,5,5,5,5,5,5,5
32562241,2,6,6,6,6,6,6,6,6,6,6,6
32682969,3,7,7,7,7,7,7,7,7,3,3,3
32803595,4,7,7,7,7,7,7,3,3,3,1,1
32924221,2,7,7,7,7,7,7,7,7,7,7,7
33044951,3,4,4,4,4,4,4,4,4,3,3,3
33165678,2,5,5,5,5,5,5,5,5,5,5,5
33286211,3,6,6,6,6,6,6,6,6,2,2,2
33406930,2,6,6,6,6,6,6,6,6,6,6,6
33527556,2,5,5,5,5,5,5,5,5,5,5,5
33648285,2,6,6,6,6,6,6,6,6,6,6,6
33768911,3,5,5,5,5,5,5,5,5,2,2,2
33889537,2,5,5,5,5,5,5,5,5,5,5,5
34010266,1,7,7,7,7,7,7,7,7,7,7,7
34130892,3,5,5,5,5,5,5,5,5,3,3,3
34251620,2,5,5,5,5,5,5,5,5,5,5,5
34372246,5,6,6,6,6,6,2,2,1,1,1,1
34492872,3,5,5,5,5,5,5,5,5,2,2,2
34613601,3,5,5,5,5,5,5,5,5,1,1,1
34734227,3,6,6,6,6,6,6,6,6,3,3,3
34854956,3,7,7,7,7,7,7,7,7,5,5,5
34975585,2,6,6,6,6,6,6,6,6,6,6,6
