tmstm,rssi,type,mac
49630,-90,80,74a78ee40c1c
49949,-88,40,daa119e29681
50128,-78,50,24f27f837e00
50129,-79,50,24f27f837e01
50129,-78,50,24f27f837e02
50129,-78,50,24f27f837e03
50143,-78,80,24f27f837e00
50143,-78,80,24f27f837e01
50144,-77,80,24f27f837e03
50144,-78,80,24f27f837e04
50144,-78,80,24f27f837e05
50155,-91,80,603d26bd585a
50162,-74,88,58238cc739dd
50217,-83,80,3817c3e73b60
50218,-83,80,3817c3e73b61
50218,-83,80,3817c3e73b62
50218,-83,80,3817c3e73b63
50218,-84,80,3817c3e73b65
50218,-84,80,3817c3e73b66
50222,-72,80,58238cc739dd
50227,-74,88,58238cc739dd
50245,-75,80,24f27f837e00
50245,-75,80,24f27f837e01
50245,-75,80,24f27f837e02
50246,-76,80,24f27f837e03
50246,-76,80,24f27f837e04
50246,-76,80,24f27f837e05
50248,-75,80,24f27f837e06
50251,-75,88,58238cc739dd
50326,-73,80,58238cc739dd
50334,-93,80,48c79672f4bd
50336,-94,80,28be9b5d3ea6
50347,-72,80,24f27f837e00
50347,-72,80,24f27f837e01
50348,-72,80,24f27f837e02
50348,-72,80,24f27f837e03
50348,-72,80,24f27f837e04
50348,-72,80,24f27f837e05
50350,-72,80,24f27f837e06
50383,-93,80,8c04ffb38699
50384,-94,80,8e04ffb3869a
50389,-82,80,6014b3e7da40
50424,-84,80,3817c3e73b60
50424,-84,80,3817c3e73b61
50427,-71,80,58238cc739dd
50437,-93,80,48c79672f4bd
50450,-73,80,24f27f837e00
50450,-73,80,24f27f837e01
50450,-73,80,24f27f837e02
50450,-73,80,24f27f837e03
50450,-72,80,24f27f837e04
50451,-73,80,24f27f837e05
50453,-73,80,24f27f837e06
50455,-83,50,3817c3e73b60
50457,-85,50,3817c3e73b61
50460,-84,50,3817c3e73b62
50462,-93,80,603d26bd585a
50485,-93,80,8c04ffb38699
50491,-83,80,6014b3e7da40
50516,-74,88,58238cc739dd
50529,-85,80,3817c3e73b60
50531,-72,80,58238cc739dd
50555,-71,80,24f27f837e06
50579,-93,08,58238caf4d4f
50628,-84,80,3817c3e73b61
50628,-85,80,3817c3e73b62
50628,-84,80,3817c3e73b63
50628,-84,80,3817c3e73b65
50629,-85,80,3817c3e73b66
50632,-71,80,58238cc739dd
50655,-72,80,24f27f837e01
50655,-71,80,24f27f837e03
50655,-72,80,24f27f837e05
50660,-73,88,58238cc739dd
50667,-92,80,603d26bd585a
50696,-85,80,6014b3e7da40
