tmstm,rssi,type,mac
219908,-69,80,d06f820dca00
219935,-23,88,e4a471e5f2ef
220026,-86,80,345760ecae40
220064,-28,c8,e4a471e5f2ef
222134,-81,80,10c25a50cbd1
222140,-86,80,b0c28721bc6a
222142,-86,80,b2c28721bc6b
222168,-89,80,a09d86167618
222193,-92,80,70037e004f5b
222514,-74,48,04021f220363
222543,-80,80,10c25a50cbd1
222653,-86,80,b0c28721bc6a
222660,-86,80,b2c28721bc6b
222680,-90,80,a09d86167618
222681,-90,08,a09d86167618
222909,-89,80,70037e004f5b
222953,-81,80,10c25a50cbd1
222960,-86,80,b0c28721bc6a
222962,-85,80,b2c28721bc6b
222987,-92,80,a09d86167618
223091,-92,08,a09d86167618
223114,-90,80,70037e004f5b
224329,-92,08,001dcf1c399b
224344,-94,80,78719c4752b0
227209,-90,80,e067b357bdde
227964,-88,c8,306a854736a0
229177,-80,80,bccab5d2c7d0
230055,-82,88,bccab5d2c7d0
230188,-75,80,58238ce84753
230190,-74,80,5a238ce84754
230941,-83,48,58c5cbd26927
231224,-87,80,e894f6e6fc32
232164,-85,80,fcb4e6c5ee2a
232169,-77,80,9897d19bbdf8
232196,-67,80,d06f820dca00
232211,-85,80,345760ecae40
232315,-74,48,5c0339b443d2
232561,-22,88,e4a471e5f2ef
232573,-86,80,fcb4e6c5ee2a
232579,-76,80,9897d19bbdf8
232606,-68,80,d06f820dca00
232619,-84,80,345760ecae40
232661,-27,c8,e4a471e5f2ef
232709,-22,88,e4a471e5f2ef
232778,-86,80,fcb4e6c5ee2a
232784,-78,80,9897d19bbdf8
232811,-67,80,d06f820dca00
232822,-74,48,009acdbcffe3
232833,-70,88,d06f820dca00
232928,-86,80,345760ecae40
232983,-86,80,fcb4e6c5ee2a
232988,-78,80,9897d19bbdf8
233016,-69,80,d06f820dca00
235139,-85,80,10c25a50cbd1
235145,-87,80,b0c28721bc6a
235147,-87,80,b2c28721bc6b
235378,-90,80,a09d86167618
235379,-92,08,a09d86167618
238050,-91,80,001dcf1c399b
240213,-88,80,e067b357bdde
242181,-81,80,bccab5d2c7d0
242490,-81,08,bccab5d2c7d0
243193,-75,80,58238ce84753
243194,-75,80,5a238ce84754
244228,-88,80,e894f6e6fc32
245150,-22,c8,e4a471e5f2ef
245168,-88,80,fcb4e6c5ee2a
245174,-76,80,9897d19bbdf8
245201,-71,80,d06f820dca00
245204,-65,48,009acdbcffe3
245216,-85,80,345760ecae40
245315,-81,48,5c0339b443d2
245373,-89,80,fcb4e6c5ee2a
245379,-76,80,9897d19bbdf8
245406,-70,80,d06f820dca00
245516,-27,88,e4a471e5f2ef
245524,-86,80,345760ecae40
245611,-80,48,5c0339b443d2
245662,-22,c8,e4a471e5f2ef
245680,-87,80,fcb4e6c5ee2a
245688,-75,80,9897d19bbdf8
245709,-28,88,e4a471e5f2ef
245713,-70,80,d06f820dca00
245714,-73,88,d06f820dca00
245725,-68,48,009acdbcffe3
245728,-85,80,345760ecae40
245783,-87,80,fcb4e6c5ee2a
245788,-76,80,9897d19bbdf8
245809,-22,c8,e4a471e5f2ef
245816,-70,80,d06f820dca00
246126,-69,48,009acdbcffe3
248157,-88,80,b0c28721bc6a
248159,-85,80,b2c28721bc6b
248178,-93,80,a09d86167618
248202,-91,80,70037e004f5b
248451,-77,80,10c25a50cbd1
250338,-93,80,001dcf1c399b
253525,-90,80,e067b357bdde
255186,-81,80,bccab5d2c7d0
255802,-80,08,bccab5d2c7d0
256197,-77,80,58238ce84753
256199,-76,80,5a238ce84754
257233,-88,80,e894f6e6fc32
258175,-90,80,fcb4e6c5ee2a
258179,-81,80,9897d19bbdf8
258206,-73,80,d06f820dca00
258221,-85,80,345760ecae40
258324,-82,48,5c0339b443d2
258627,-58,48,009acdbcffe3
258665,-21,c8,e4a471e5f2ef
258687,-92,80,fcb4e6c5ee2a
258691,-79,80,9897d19bbdf8
258718,-73,80,d06f820dca00
258731,-86,80,345760ecae40
259030,-69,48,009acdbcffe3
261149,-72,80,10c25a50cbd1
261154,-87,80,b0c28721bc6a
261164,-85,80,b2c28721bc6b
261183,-91,80,a09d86167618
261184,-90,08,a09d86167618
261514,-92,80,70037e004f5b
261559,-72,80,10c25a50cbd1
261667,-87,80,b0c28721bc6a
261771,-88,80,b2c28721bc6b
261798,-91,80,a09d86167618
263445,-91,80,001dcf1c399b
263870,-96,80,78719c4752b0
264065,-95,80,84c9c690baa9
266223,-87,80,e067b357bdde
268191,-79,80,bccab5d2c7d0
268595,-24,40,e4a471e5f2ef
269206,-80,80,58238ce84753
269208,-79,80,5a238ce84754
270136,-85,80,e894f6e6fc32
270334,-82,08,e894f6e6fc32
270552,-84,c8,c08c71da7b4a
271157,-70,88,d06f820dca00
271178,-86,80,fcb4e6c5ee2a
271183,-73,80,9897d19bbdf8
271211,-71,80,d06f820dca00
271225,-88,80,345760ecae40
271272,-21,c8,e4a471e5f2ef
271482,-70,88,d06f820dca00
271487,-82,80,fcb4e6c5ee2a
271491,-73,80,9897d19bbdf8
271506,-77,48,5c0339b443d2
271518,-70,80,d06f820dca00
271519,-70,08,d06f820dca00
271531,-89,80,345760ecae40
271590,-81,80,fcb4e6c5ee2a
271594,-73,80,9897d19bbdf8
271605,-73,88,d06f820dca00
271620,-72,80,d06f820dca00
271714,-21,c8,e4a471e5f2ef
