tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole,Q
466714,-326,-357,8210,-355.543,-308.657,8037.214,76.912,64.880,103.756,-1.143,-2.857,36.572,-0.497,1.697,16.563,0,0,0,0,0,5.000
466814,-381,-232,7966,-354.400,-307.829,8037.586,75.925,65.481,103.453,11.429,8.286,3.716,-9.875,6.005,-3.026,0,0,0,0,0,5.000
466914,-303,-387,8270,-355.629,-309.014,8040.628,74.371,66.149,107.050,-12.286,-11.857,30.425,-15.534,6.680,35.963,0,0,0,0,0,5.000
467014,-360,-274,8070,-355.200,-309.243,8042.743,74.258,66.000,106.144,4.286,-2.286,21.143,-1.130,-1.492,-9.062,0,0,0,0,0,5.000
467114,-427,-394,8196,-356.386,-310.486,8046.671,74.731,66.760,106.653,-11.857,-12.429,39.287,4.728,7.608,5.093,0,0,0,0,0,5.000
467214,-267,-284,8197,-356.629,-310.614,8049.457,74.412,66.701,107.988,-2.429,-1.286,27.856,-3.192,-0.598,13.351,0,0,0,0,0,5.000
467314,-420,-361,8173,-355.886,-310.671,8051.943,73.511,66.742,108.797,7.429,-0.571,24.858,-9.014,0.414,8.095,0,0,0,0,0,5.000
467414,-316,-253,8074,-355.886,-310.800,8053.114,73.511,66.622,108.587,0.000,-1.286,11.714,0.000,-1.200,-2.105,0,0,0,0,0,5.000
467514,-306,-266,8156,-355.571,-309.757,8055.071,73.676,66.744,109.187,3.143,10.428,19.570,1.654,1.217,6.005,0,0,0,0,0,5.000
467614,-490,-293,7914,-357.043,-310.629,8054.543,75.300,66.118,109.778,-14.714,-8.714,-5.283,16.236,-6.256,5.905,0,0,0,0,0,5.000
467714,-309,-313,7999,-357.343,-309.700,8051.857,75.065,65.620,108.800,-3.000,9.286,-26.860,-2.342,-4.981,-9.780,0,0,0,0,0,5.000
467814,-389,-329,8122,-358.343,-311.114,8056.057,75.014,64.950,105.708,-10.000,-14.143,42.002,-0.512,-6.695,-30.919,0,0,0,0,0,5.000
467914,-419,-279,7902,-358.786,-309.314,8053.628,75.279,64.063,107.255,-4.428,18.000,-24.287,2.648,-8.869,15.473,0,0,0,0,0,5.000
468014,-274,-350,8046,-359.043,-310.757,8053.443,74.958,63.826,107.257,-2.571,-14.428,-1.855,-3.215,-2.377,0.018,0,0,0,0,0,5.000
468114,-411,-261,7980,-357.800,-308.614,8052.229,73.347,62.936,107.600,12.429,21.429,-12.144,-16.104,-8.897,3.429,0,0,0,0,0,5.000
468214,-373,-346,7964,-359.129,-310.400,8051.086,72.766,62.194,108.105,-13.286,-17.857,-11.426,-5.813,-7.423,5.050,0,0,0,0,0,5.000
468314,-250,-226,7929,-357.357,-308.114,8047.614,73.883,62.313,108.068,17.714,22.857,-34.717,11.172,1.196,-0.369,0,0,0,0,0,5.000
468414,-476,-447,8037,-358.986,-311.157,8048.471,75.212,63.803,107.742,-16.286,-30.428,8.569,13.289,14.894,-3.260,0,0,0,0,0,5.000
468514,-281,-260,7961,-358.857,-309.443,8044.700,75.337,63.542,106.105,1.286,17.143,-37.710,1.254,-2.612,-16.371,0,0,0,0,0,5.000
468614,-446,-328,8137,-360.771,-310.186,8046.800,75.823,63.450,106.456,-19.143,-7.428,20.996,4.859,-0.914,3.507,0,0,0,0,0,5.000
468714,-346,-217,7947,-359.400,-307.629,8044.157,75.207,63.547,106.604,13.714,25.571,-26.426,-6.159,0.969,1.483,0,0,0,0,0,5.000
468814,-338,-374,8205,-360.329,-309.100,8044.786,74.533,63.874,107.418,-9.286,-14.714,6.284,-6.742,3.265,8.137,0,0,0,0,0,5.000
468914,-322,-257,7968,-358.143,-308.414,8042.214,73.373,64.171,107.070,21.857,6.857,-25.713,-11.605,2.973,-3.477,0,0,0,0,0,5.000
469014,-434,-412,8197,-359.957,-309.814,8045.114,73.655,65.336,108.465,-18.143,-14.000,28.999,2.826,11.650,13.949,0,0,0,0,0,5.000
469114,-267,-316,8138,-359.700,-310.257,8044.857,73.947,65.271,108.223,2.571,-4.428,-2.573,2.921,-0.647,-2.421,0,0,0,0,0,5.000
469214,-470,-388,8149,-360.043,-311.043,8047.800,74.401,65.869,108.214,-3.428,-7.857,29.429,4.536,5.973,-0.090,0,0,0,0,0,5.000
469314,-295,-175,8002,-359.343,-309.514,8048.000,74.778,67.740,108.116,7.000,15.286,2.002,3.772,18.712,-0.978,0,0,0,0,0,5.000
469414,-334,-335,8197,-358.271,-309.286,8049.171,74.596,67.626,109.274,10.714,2.286,11.714,-1.821,-1.135,11.576,0,0,0,0,0,5.000
469514,-463,-296,7986,-358.729,-309.757,8049.686,75.136,67.417,108.890,-4.572,-4.714,5.142,5.404,-2.096,-3.839,0,0,0,0,0,5.000
469614,-265,-359,8249,-358.643,-310.000,8052.714,75.240,67.563,111.414,0.857,-2.429,30.288,1.034,1.462,25.240,0,0,0,0,0,5.000
469714,-383,-266,8147,-357.143,-310.314,8055.414,73.676,67.306,111.376,15.000,-3.143,26.997,-15.634,-2.571,-0.379,0,0,0,0,0,5.000
469814,-431,-325,8059,-359.271,-309.257,8057.671,73.627,66.481,109.814,-21.286,10.572,22.573,-0.493,-8.252,-15.622,0,0,0,0,0,5.000
469914,-339,-313,7979,-358.529,-310.443,8057.100,73.565,65.793,110.117,7.429,-11.857,-5.713,-0.616,-6.876,3.034,0,0,0,0,0,5.000
470014,-356,-272,7964,-357.014,-308.957,8054.586,72.503,65.469,110.205,15.143,14.857,-25.142,-10.622,-3.237,0.877,0,0,0,0,0,5.000
470114,-377,-310,7866,-359.257,-309.814,8051.900,70.634,65.084,112.454,-22.429,-8.571,-26.860,-18.689,-3.859,22.494,0,0,0,0,0,5.000
470214,-207,-250,7884,-356.486,-308.114,8048.114,72.717,65.070,113.576,27.714,17.000,-37.856,20.830,-0.140,11.224,0,0,0,0,0,5.000
470314,-464,-298,7851,-355.814,-309.700,8046.943,71.494,63.431,115.169,6.714,-15.857,-11.714,-12.231,-16.390,15.930,0,0,0,0,0,5.000
470414,-283,-392,8163,-356.429,-309.871,8046.800,70.677,63.636,115.019,-6.143,-1.714,-1.431,-8.177,2.057,-1.503,0,0,0,0,0,5.000
470514,-302,-179,8264,-356.043,-309.157,8051.971,70.899,64.810,116.521,3.857,7.143,51.714,2.220,11.735,15.015,0,0,0,0,0,5.000
470614,-519,-417,8310,-357.329,-309.529,8054.486,72.995,65.350,120.107,-12.857,-3.714,25.146,20.965,5.402,35.866,0,0,0,0,0,5.000
470714,-400,310,7784,-359.314,-301.043,8049.628,72.234,98.348,124.009,-19.857,84.857,-48.574,-7.608,329.983,39.020,0,0,0,0,0,5.000
470814,-541,-40,7748,-360.214,-296.129,8045.257,74.076,102.584,129.068,-9.000,49.143,-43.711,18.421,42.353,50.590,0,0,0,0,0,5.000
470914,-370,-29,8160,-361.086,-293.114,8046.657,73.827,107.185,129.772,-8.714,30.143,13.999,-2.492,46.017,7.036,0,0,0,0,0,5.000
471014,-526,187,8081,-364.000,-284.929,8044.900,76.215,120.795,128.456,-29.143,81.857,-17.573,23.874,136.097,-13.163,0,0,0,0,0,5.000
471114,-334,150,7975,-362.829,-279.257,8045.343,76.036,131.305,128.160,11.714,56.714,4.429,-1.783,105.101,-2.955,0,0,0,0,0,5.000
471214,-343,98,8046,-363.614,-273.214,8042.643,75.542,138.592,126.111,-7.857,60.428,-26.997,-4.947,72.871,-20.495,0,0,0,0,0,5.000
471314,-524,393,8022,-366.286,-263.100,8040.714,77.825,159.440,125.377,-26.714,101.143,-19.287,22.836,208.479,-7.335,0,0,0,0,0,5.000
471414,-440,461,8310,-366.000,-251.671,8043.372,77.517,180.827,129.032,2.857,114.286,26.572,-3.085,213.872,36.546,0,0,0,0,0,5.000
471514,-313,476,8064,-366.514,-240.586,8041.343,77.042,200.266,127.567,-5.143,110.857,-20.288,-4.742,194.391,-14.648,0,0,0,0,0,5.000
471614,-581,625,8058,-367.643,-227.629,8039.128,79.556,224.984,125.902,-11.286,129.571,-22.144,25.140,247.173,-16.645,0,0,0,0,0,5.000
471714,-512,925,8246,-370.514,-209.971,8042.729,81.073,263.032,128.143,-28.714,176.571,36.001,15.167,380.485,22.410,0,0,0,0,0,5.000
471814,-335,563,7770,-370.800,-197.714,8036.786,80.912,278.331,130.976,-2.857,122.572,-59.429,-1.611,152.984,28.328,0,0,0,0,0,5.000
471914,-465,669,7594,-371.529,-183.271,8031.372,81.525,296.130,140.955,-7.286,144.429,-54.141,6.130,177.999,99.783,0,0,0,0,0,5.000
472014,-102,3,7883,-367.943,-179.729,8030.229,87.558,296.853,141.826,35.857,35.428,-11.431,60.327,7.229,8.713,0,0,0,0,0,5.000
