tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ
13313,559,-400,8500,-530.029,-196.614,8013.157,565.422,497.204,845.673,81.143,-81.286,16.431,117.328,-12.581,8.361
13413,-1301,-12,7225,-541.186,-198.157,8005.286,572.771,496.460,850.395,-111.572,-15.429,-78.716,73.496,-7.434,47.219
13513,-285,-361,7917,-538.286,-194.057,8004.714,573.547,493.907,850.441,29.000,41.000,-5.713,7.754,-25.534,0.457
13613,-195,-628,8437,-524.600,-199.671,8017.757,570.135,496.567,849.969,136.857,-56.143,130.430,-34.118,26.599,-4.715
13713,-1393,15,8821,-547.257,-195.614,8022.500,572.676,497.144,853.505,-226.572,40.571,47.427,25.405,5.768,35.355
13813,454,251,7730,-524.800,-185.929,8035.500,580.621,499.142,841.942,224.572,96.857,130.000,79.458,19.983,-115.628
13913,-1516,163,8149,-543.843,-173.043,8040.443,590.868,496.333,841.578,-190.428,128.857,49.429,102.466,-28.093,-3.640
14013,1690,-336,8480,-505.543,-168.243,8020.729,645.049,493.098,814.450,383.000,48.000,-197.144,541.810,-32.344,-271.285
14113,1196,-461,7897,-480.800,-168.271,8021.057,675.887,493.115,814.395,247.429,-0.286,3.286,308.381,0.169,-0.546
14213,629,31,7784,-463.229,-154.014,8007.000,688.406,484.162,809.860,175.714,142.571,-140.571,125.193,-89.532,-45.348
14313,514,628,8697,-442.171,-136.071,8024.543,695.397,489.508,811.315,210.572,179.429,175.430,69.906,53.458,14.551
14413,-2874,-193,8442,-476.629,-131.100,8034.614,752.906,487.131,812.059,-344.572,49.714,100.713,575.086,-23.764,7.436
14513,-1541,287,7736,-492.757,-123.100,8022.914,763.368,489.329,810.375,-161.286,80.000,-117.002,104.626,21.974,-16.837
14613,-48,140,7766,-482.271,-117.671,8035.157,764.364,490.109,799.859,104.857,54.286,122.432,9.954,7.802,-105.158
14713,21,93,8224,-479.643,-118.957,8042.929,765.772,489.436,799.013,26.286,-12.857,77.715,14.086,-6.729,-8.460
14813,-476,562,7593,-461.714,-121.986,8029.014,750.810,484.533,798.246,179.286,-30.286,-139.146,-149.621,-49.035,-7.673
14913,-582,658,7749,-469.829,-112.000,8049.700,748.995,493.224,771.512,-81.143,99.857,206.860,-18.154,86.910,-267.337
15013,-773,528,7839,-483.743,-98.443,8073.571,745.442,497.567,738.047,-139.143,135.571,238.711,-35.527,43.436,-334.655
