tmstm,rssi,type,mac
76627,-73,88,d06f820dca00
76652,-88,80,b0c28721bc6a
76655,-70,80,9897d19bbdf8
76659,-88,80,b2c28721bc6b
76703,-75,88,5c0339b443d2
76704,-71,c8,60f81dcfd4b4
76705,-72,c8,dc90884a7739
76728,-73,88,d06f820dca00
76756,-71,80,9897d19bbdf8
76759,-89,80,b0c28721bc6a
76786,-80,80,345760ecae40
76795,-79,80,d06f820dca00
76800,-79,08,d06f820dca00
76959,-71,88,d06f820dca00
76962,-71,80,9897d19bbdf8
77123,-89,48,1801f13b9f03
77165,-88,80,b0c28721bc6a
79270,-63,80,10c25a50cbd1
79335,-94,80,54a6194cc290
79592,-94,80,a09d86167618
79593,-93,08,a09d86167618
79621,-96,80,7c8779019402
79840,-94,80,5a238c3436c6
79884,-63,80,10c25a50cbd1
80157,-95,80,5a238c3436ca
80743,-90,80,e894f6e6fc32
81207,-94,80,001dcf1c399b
81230,-90,80,e067b32dc3b6
81252,-91,80,84c9c690baa9
81343,-93,80,78719c4752b0
81843,-94,50,001dcf1c399b
81938,-89,88,e067b32dc3b6
82026,-93,80,001dcf1c399b
82049,-89,80,e067b32dc3b6
82071,-95,80,84c9c690baa9
84236,-83,80,fcb4e6c5ee2a
84258,-88,80,e067b357bdde
84260,-78,80,d0bf9c5495bb
86239,-84,80,bccab5d2c7d0
86792,-80,88,bccab5d2c7d0
87241,-73,80,58238ce84753
87243,-73,80,5a238ce84754
87894,-94,08,c83a35be8d81
89173,-69,50,9897d19bbdf8
89178,-79,80,345760ecae40
89185,-73,80,d06f820dca00
89247,-88,80,b0c28721bc6a
89249,-69,80,9897d19bbdf8
89251,-86,80,b2c28721bc6b
89294,-69,50,9897d19bbdf8
89304,-79,50,345760ecae40
89383,-78,80,345760ecae40
89390,-73,80,d06f820dca00
89452,-89,80,b0c28721bc6a
89454,-87,80,b2c28721bc6b
89456,-69,80,9897d19bbdf8
89462,-72,88,9897d19bbdf8
89463,-70,c8,60f81dcfd4b4
89484,-78,80,345760ecae40
89492,-73,80,d06f820dca00
89530,-86,50,b0c28721bc6a
89554,-87,80,b0c28721bc6a
89560,-71,08,9897d19bbdf8
89584,-95,80,4432c85e95c4
89648,-69,88,60f81dcfd4b4
89659,-86,80,b2c28721bc6b
89661,-69,80,9897d19bbdf8
89759,-87,80,b0c28721bc6a
89764,-85,48,3cfa43a7f72d
89766,-68,50,9897d19bbdf8
89788,-92,80,4432c85e95c4
89854,-70,c8,60f81dcfd4b4
89864,-68,80,9897d19bbdf8
89965,-88,80,b0c28721bc6a
90006,-64,c8,dc90884a7739
90935,-91,40,94b10a13340b
92171,-62,80,10c25a50cbd1
92190,-94,80,a09d86167618
92334,-92,80,5a238c3436c6
92467,-93,50,58238c3436c5
92506,-94,50,5a238c3436ca
93236,-91,80,e894f6e6fc32
94234,-92,80,e067b32dc3b6
94245,-95,80,78719c4752b0
94257,-91,80,84c9c690baa9
94417,-93,80,001dcf1c399b
94964,-95,88,001dcf1c399b
97243,-82,80,fcb4e6c5ee2a
97255,-93,40,1801f13b9f03
97262,-95,80,e067b357bdde
97265,-77,80,d0bf9c5495bb
97484,-86,50,fcb4e6c5ee2a
98056,-89,40,7429af2723a4
